question_category,variable_name,description,question,possible_response_values,
,training_freq_flyball,Frequency of flyball activities,Flyball frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_disc,Frequency of discdog activities,DiscDog frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_conform,Frequency of conformation activities,Conformation frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_scent,Frequency of scent detection activities,Scent detection frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_search,Frequency of search and rescue activities,Search and rescue frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_sled,Frequency of sled pulling activities,Sled pulling/cart pulling frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_pullsport,Frequency of skijoring/canicross/bikejoring activities,Skijoring/Canicross/Bikejoring frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_therapy,Frequency of therapy dog activities,Therapy/ambulance dog frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_service,Frequency of service dog activities,Specialized service training frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_hunt,Frequency of hunting/tracking activities,Game hunting/tracking frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_herd,Frequency of herding activities,Herding/sheepdog trials frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_other1,Frequency of other activities (fill in activity),Other frequency of participation in the last 12 months (1),"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_other2,Frequency of other activities (fill in activity),Other frequency of participation in the last 12 months (2),"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_other3,Frequency of other activities (fill in activity),Other frequency of participation in the last 12 months (3),"Never, Weekly, >1 week, <1 month, 1-2 month",
,lab_exposure,Research lab experience status,Has your dog participated in research studies before at this or another location/institution?,"Yes, same site; Yes, different site; No; Unsure",
,research_experience,Research lab experience types,What type of research tasks has your dog participated in during previous visits to research centers?,"Choice tasks, Cup tasks, Human point, Other",
,other_household_dogs,Dog shared household status,Does your dog currently live with other dogs?,"Yes, No",
,num_household_dogs,Number of dogs in household,"If yes, how many?",Number,
Guardian Demographics,years_owned,Number of years dog lived with owner,"Approximately, how many years have you owned your dog?",Number,
,origin,Dog origin,How did you acquire your dog?,"Breeder, Relation, Rescue, Shelter, Other",
,guardian_gender,Guardian gender,With which gender do you most identify?,"Male, Female, Other, Prefer not to say",
,guardian_age,Guardian age,How old are you?,"Under 20, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, Prefer not to say",
,environment,Environment of residence,What type of environment do you and your dog live in?,"Rural, Suburban, Urban, Prefer not to say",
C-BARQ Trainability,cbarq_train_1,C-BARQ training question 1,"When off the leash, returns immediately when called ","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_2,C-BARQ training question 2,Obeys the “sit” command immediately,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_3,C-BARQ training question 3,Obeys the “stay” command immediately,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_4,C-BARQ training question 4,Seems to attend/listen closely to everything you say or do,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_5,C-BARQ training question 5,Slow to respond to correction or punishment,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_6,C-BARQ training question 6,Slow to learn new tricks or tasks,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_7,C-BARQ training question 7,"Easily distracted by interesting sights, sounds, or smells","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_train_8,C-BARQ training question 8,"Will “fetch,” or attempt to fetch, sticks, balls, or objects","Never, Seldom, Sometimes, Usually, Always, Not observed",
Opt-Out Point,continue_cbarq,Status of whether owner continued to remaining C-BARQ questions,"Thank you so much for your answers! At this point in the survey, you have completed the minimum amount required to participate in ManyDogs Study 1, and can choose to submit your information now by selecting 'Submit my info now'. If you would like to tell us more about your dog, we would love to hear all about them! We have prepared several more questions about their behaviour that you can answer by selecting 'More questions please', this will take approximately 12-15 minutes.","Yes (Continue to take full C-BARQ), No (Decline to complete full C-BARQ)",
C-BARQ Aggression,cbarq_aggression_1,C-BARQ aggression question 1 ('Some dogs display aggressive behavior from time to time.'),"When verbally corrected or punished (scolded, shouted at, etc) by you or a household member.","No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_2,C-BARQ aggression question 2 ('Some dogs display aggressive behavior from time to time.'),When approached directly by an unfamiliar adult while being walked/exercised on a leash,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_3,C-BARQ aggression question 3 ('Some dogs display aggressive behavior from time to time.'),When approached directly by an unfamiliar child while being walked/exercised on a leash,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_4,C-BARQ aggression question 4 ('Some dogs display aggressive behavior from time to time.'),Toward unfamiliar persons approaching the dog while s/he is in your car (at the gas station for example).,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_5,C-BARQ aggression question 5 ('Some dogs display aggressive behavior from time to time.'),"When toys, bones or other objects are taken away by a household member","No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_6,C-BARQ aggression question 6 ('Some dogs display aggressive behavior from time to time.'),When bathed or groomed by a household member,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_7,C-BARQ aggression question 7 ('Some dogs display aggressive behavior from time to time.'),When an unfamiliar person approaches you or another member of your family at home.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_8,C-BARQ aggression question 8 ('Some dogs display aggressive behavior from time to time.'),When unfamiliar persons approach you or another member of your family away from home.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_9,C-BARQ aggression question 9 ('Some dogs display aggressive behavior from time to time.'),When approached directly by a household member while s/he (the dog) is eating,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_10,C-BARQ aggression question 10 ('Some dogs display aggressive behavior from time to time.'),When mailmen or other delivery workers approach your home.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_11,C-BARQ aggression question 11 ('Some dogs display aggressive behavior from time to time.'),When his/her food is taken away by a household member.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_12,C-BARQ aggression question 12 ('Some dogs display aggressive behavior from time to time.'),When strangers walk past your home while your dog is outside or in the yard.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_13,C-BARQ aggression question 13 ('Some dogs display aggressive behavior from time to time.'),When an unfamiliar person tries to touch or pet the dog.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_14,C-BARQ aggression question 14 ('Some dogs display aggressive behavior from time to time.'),"When joggers, cyclists, rollerbladers or skateboarders pass your home while your dog is outside or in the yard.","No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_15,C-BARQ aggression question 15 ('Some dogs display aggressive behavior from time to time.'),When approached directly by an unfamiliar male dog while being walked/exercised on a leash,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_16,C-BARQ aggression question 16 ('Some dogs display aggressive behavior from time to time.'),When approached directly by an unfamiliar female dog while being walked/exercised on a leash,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_17,C-BARQ aggression question 17 ('Some dogs display aggressive behavior from time to time.'),When stared at directly by a member of the household.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_18,C-BARQ aggression question 18 ('Some dogs display aggressive behavior from time to time.'),Toward unfamiliar dogs visiting your home.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_19,C-BARQ aggression question 19 ('Some dogs display aggressive behavior from time to time.'),"Toward cats, squirrels or other small animals entering your yard.","No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_20,C-BARQ aggression question 20 ('Some dogs display aggressive behavior from time to time.'),Toward unfamiliar persons visiting your home.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_21,C-BARQ aggression question 21 ('Some dogs display aggressive behavior from time to time.'),"When barked, growled, or lunged at by another (unfamiliar) dog.","No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_22,C-BARQ aggression question 22 ('Some dogs display aggressive behavior from time to time.'),When stepped over by a member of the household.,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_23,C-BARQ aggression question 23 ('Some dogs display aggressive behavior from time to time.'),When you or a household member retrieves food or objects stolen by the dog.                                            ,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_24,C-BARQ aggression question 24 ('Some dogs display aggressive behavior from time to time.'),Towards another (familiar) dog in your    household (leave blank  if no other dogs).                                    ,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_25,C-BARQ aggression question 25 ('Some dogs display aggressive behavior from time to time.'),When approached at a favorite resting/sleeping place by another (familiar) household dog (leave blank  if no other dogs).                               ,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_26,C-BARQ aggression question 26 ('Some dogs display aggressive behavior from time to time.'),When approached while eating by another (familiar) household dog (leave blank if no other dogs).,"No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
,cbarq_aggression_27,C-BARQ aggression question 27 ('Some dogs display aggressive behavior from time to time.'),"When approached while playing with/chewing a favorite toy, bone, object, etc., by another (familiar) household dog (leave blank if no other dogs).","No aggression (No visible signs of aggression), Mild aggression, Moderate aggression (Growling/barking/baring teeth), High aggression, Serious aggression (Snaps, bites, or attempts to bite), Not observed",
C-BARQ Fear,cbarq_fear_1,"C-BARQ fear question 1 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When approached directly by an unfamiliar adult while away from your home,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_2,"C-BARQ fear question 2 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When approached directly by an unfamiliar child while away from your home,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_3,"C-BARQ fear question 3 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')","In response to sudden or loud noises (e.g. vacuum cleaner, car backfire, road drills, objects being dropped, etc.)","No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_4,"C-BARQ fear question 4 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When unfamiliar persons visit your home,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_5,"C-BARQ fear question 5 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When an unfamiliar person tries to touch or pet the dog.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_6,"C-BARQ fear question 6 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",In heavy traffic,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_7,"C-BARQ fear question 7 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')","In response to strange or unfamiliar objects on or near the sidewalk (e.g. plastic trash bags, leaves, litter, flags flapping, etc.)","No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_8,"C-BARQ fear question 8 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When examined/treated by a veterinarian.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_9,"C-BARQ fear question 9 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')","During thunderstorms, firework displays, or similar events.","No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_10,"C-BARQ fear question 10 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When approached directly by an unfamiliar dog of the same or larger size.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_11,"C-BARQ fear question 11 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When approached directly by an unfamiliar dog of a smaller size.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_12,"C-BARQ fear question 12 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')","When first exposed to unfamiliar situations (e.g. first car trip, first time in elevator, first visit to veterinarian, etc.)","No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_13,"C-BARQ fear question 13 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",In response to wind or wind-blown objects.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_14,"C-BARQ fear question 14 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When having nails clipped by a household member.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_15,"C-BARQ fear question 15 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When groomed or bathed by a household member.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_16,"C-BARQ fear question 16 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When having his/her feet toweled by a member of the household.,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_17,"C-BARQ fear question 17 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')",When unfamiliar dogs visit your home,"No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
,cbarq_fear_18,"C-BARQ fear question 18 ('Dogs sometimes show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations')","When barked, growled, or lunged at by an unfamiliar dog.","No fear (No visible signs of fear), Mild fear, Moderate fear (Moderate fear/anxiety), High fear, Extreme fear (Cowers, retreats, or hides), Not observed",
C-BARQ Separation-Related Behavior,cbarq_separation_1,"C-BARQ separation question 1 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')","Shaking, shivering, or trembling","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_2,"C-BARQ separation question 2 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')",Excessive Salivation,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_3,"C-BARQ separation question 3 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')",Restlessness/agitation/pacing,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_4,"C-BARQ separation question 4 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')",Whining,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_5,"C-BARQ separation question 5 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')",Barking,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_6,"C-BARQ separation question 6 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')",Howling,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_7,"C-BARQ separation question 7 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')","Chewing/scratching at doors, floor, windows, curtains, etc","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_separation_8,"C-BARQ separation question 8 ('Some dogs show signs of anxiety or abnormal behavior when left alone, even for relatively short periods of time.')",Loss of appetite,"Never, Seldom, Sometimes, Usually, Always, Not observed",
C-BARQ Excitability,cbarq_excitability_1,"C-BARQ excitability question 1 ('Some dogs show relatively little reaction to sudden or potentially exciting events and disturbances in their environment, while others become highly excited at the slightest novelty.')",When you or other members of the household come home after a brief absence.,"No excitability (Little or no special reaction), Mild excitability, Moderate excitability, High excitability, Extreme excitability (Over-reacts, hard to calm down), Not observed",
,cbarq_excitability_2,"C-BARQ excitability question 2 ('Some dogs show relatively little reaction to sudden or potentially exciting events and disturbances in their environment, while others become highly excited at the slightest novelty.')",When playing with you or other members of your household.,"No excitability (Little or no special reaction), Mild excitability, Moderate excitability, High excitability, Extreme excitability (Over-reacts, hard to calm down), Not observed",
,cbarq_excitability_3,"C-BARQ excitability question 3 ('Some dogs show relatively little reaction to sudden or potentially exciting events and disturbances in their environment, while others become highly excited at the slightest novelty.')",When the doorbell rings.,"No excitability (Little or no special reaction), Mild excitability, Moderate excitability, High excitability, Extreme excitability (Over-reacts, hard to calm down), Not observed",
,cbarq_excitability_4,"C-BARQ excitability question 4 ('Some dogs show relatively little reaction to sudden or potentially exciting events and disturbances in their environment, while others become highly excited at the slightest novelty.')",Just before being taken for a walk,"No excitability (Little or no special reaction), Mild excitability, Moderate excitability, High excitability, Extreme excitability (Over-reacts, hard to calm down), Not observed",
,cbarq_excitability_5,"C-BARQ excitability question 5 ('Some dogs show relatively little reaction to sudden or potentially exciting events and disturbances in their environment, while others become highly excited at the slightest novelty.')",Just before being taken on a car trip,"No excitability (Little or no special reaction), Mild excitability, Moderate excitability, High excitability, Extreme excitability (Over-reacts, hard to calm down), Not observed",
,cbarq_excitability_6,"C-BARQ excitability question 6 ('Some dogs show relatively little reaction to sudden or potentially exciting events and disturbances in their environment, while others become highly excited at the slightest novelty.')",When visitors arrive at your home.,"No excitability (Little or no special reaction), Mild excitability, Moderate excitability, High excitability, Extreme excitability (Over-reacts, hard to calm down), Not observed",
C-BARQ Attachment/Attention-Seeking,cbarq_attachment_1,"C-BARQ attachment question 1 ('Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them.')",Displays a strong attachment for one particular member of the household,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_attachment_2,"C-BARQ attachment question 2 ('Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them.')","Tends to follow you (or other members of household) about the house, from room to room","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_attachment_3,"C-BARQ attachment question 3 ('Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them.')","Tends to sit close to, or in contact with, you (or others) when you are sitting down","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_attachment_4,"C-BARQ attachment question 4 ('Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them.')","Tends to nudge, nuzzle or paw you (or others) for attention when you are sitting down","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_attachment_5,"C-BARQ attachment question 5 ('Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them.')","Becomes agitated (whines, jumps up, tries to intervene) when you (or others) show affection for another person","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_attachment_6,"C-BARQ attachment question 6 ('Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them.')","Becomes agitated (whines, jumps up, tries to intervene) when you show affection for another dog or animal","Never, Seldom, Sometimes, Usually, Always, Not observed",
C-BARQ Miscellaneous Behavior Problems,cbarq_miscellaneous_1,C-BARQ miscellaneous question 1 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Chases or would chase cats given the opportunity,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_2,C-BARQ miscellaneous question 2 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Chases or would chase birds given the opportunity,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_3,C-BARQ miscellaneous question 3 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Chases or would chase squirrels, rabbits and other small animals given the opportunity","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_4,C-BARQ miscellaneous question 4 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Escapes or would escape from home or yard given the chance,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_5,C-BARQ miscellaneous question 5 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Rolls in animal droppings or other ‘smelly’ substances,"Never, Seldom, Sometimes, Usually, Always, Not observed",
